concurso,data,dezena_1,dezena_2,dezena_3,dezena_4,dezena_5,dezena_6,ganhadores_6_acertos,valor_premio,local
262,10/03/2001,11,20,48,53,58,60,0,0.0,"Caminhão da Sorte em JOINVILLE, SC"
263,17/03/2001,8,9,26,43,50,53,0,0.0,"Caminhão da Sorte em UMUARAMA, PR"
264,24/03/2001,1,5,13,25,31,33,2,16055880.73,"Caminhão da Sorte em Sto Antônio da Platina, PR"
265,31/03/2001,7,16,34,41,50,53,0,0.0,"Caminhão da Sorte em Colorado, PR"
266,07/04/2001,2,23,38,46,48,54,0,0.0,"Caminhão da Sorte em LONDRINA, PR"
267,14/04/2001,1,8,45,46,55,58,0,0.0,"Caminhão da Sorte em Marília, SP"
268,21/04/2001,5,6,10,21,33,47,0,0.0,"Caminhão da Sorte em Campinas, SP"
269,28/04/2001,17,18,19,25,49,52,0,0.0,"Caminhão da Sorte em Divinópolis, MG"
270,05/05/2001,5,9,27,35,40,45,1,25186260.21,"Caminhão da Sorte em Itapecerica da Serra, SP"
271,12/05/2001,14,24,26,29,31,54,0,0.0,"Caminhão da Sorte em OSASCO, SP"
272,19/05/2001,9,10,24,36,56,58,0,0.0,"Caminhão da Sorte em Franca, SP"
273,26/05/2001,10,17,23,27,47,52,1,3456480.23,"Caminhão da Sorte em Goiânia, GO"
274,02/06/2001,11,13,18,26,39,47,0,0.0,"Caminhão da Sorte em Araras, SP"
275,09/06/2001,16,19,30,37,38,48,0,0.0,"Caminhão da Sorte em Guaratinguetá, SP"
276,16/06/2001,22,39,45,53,57,59,0,0.0,"Caminhão da Sorte em Ourinhos, SP"
277,23/06/2001,4,26,38,40,52,56,0,0.0,"Caminhão da Sorte em Caruaru, PE"
278,30/06/2001,10,15,18,22,31,55,0,0.0,"Caminhão da Sorte em Aracaju, SE"
279,07/07/2001,4,23,31,47,58,59,0,0.0,"Caminhão da Sorte em Rondonópolis, MT"
280,14/07/2001,5,16,20,25,30,58,0,0.0,"Caminhão da Sorte em JABOTICABAL, SP"
281,21/07/2001,5,11,31,38,47,53,1,22414093.5,"Caminhão da Sorte em Pitanga, PR"
282,28/07/2001,9,14,23,24,33,36,1,958878.82,"Caminhão da Sorte em Porto Ferreira, SP"
283,01/08/2001,25,28,34,42,48,54,1,367173.22,"Caminhão da Sorte em Piracicaba, SP"
284,04/08/2001,7,8,14,30,32,36,1,901884.48,"Caminhão da Sorte em Itapira, SP"
285,08/08/2001,12,32,37,41,50,56,0,0.0,"Caminhão da Sorte em Betim, MG"
286,11/08/2001,29,35,37,44,47,56,0,0.0,"Caminhão da Sorte em Betim, MG"
287,15/08/2001,3,13,25,33,47,60,1,1931474.8,"Caminhão da Sorte em Maringá, PR"
288,18/08/2001,6,9,11,17,18,50,0,0.0,"Caminhão da Sorte em Maringá, PR"
289,22/08/2001,6,7,20,25,30,36,0,0.0,"Caminhão da Sorte em Matão, SP"
290,25/08/2001,7,25,26,30,40,57,0,0.0,"Caminhão da Sorte em Matão, SP"
291,29/08/2001,5,16,17,18,22,41,0,0.0,"Caminhão da Sorte em Pau dos Ferros, RN"
292,01/09/2001,13,23,24,34,45,53,0,0.0,"Caminhão da Sorte em Pau dos Ferros, RN"
293,05/09/2001,5,6,7,12,28,35,0,0.0,"Caminhão da Sorte em Feira de Santana, BA"
294,08/09/2001,22,25,28,41,45,57,2,7696680.33,"Caminhão da Sorte em Feira de Santana, BA"
295,12/09/2001,7,12,24,31,44,50,0,0.0,"Caminhão da Sorte em Presidente Prudente, SP"
296,15/09/2001,3,20,42,46,51,52,0,0.0,"Caminhão da Sorte em Presidente Prudente, SP"
297,19/09/2001,1,20,28,33,36,41,0,0.0,"Caminhão da Sorte em Porto Alegre, RS"
298,22/09/2001,5,22,23,24,34,60,1,2994572.21,"Caminhão da Sorte em Porto Alegre, RS"
299,26/09/2001,2,5,7,33,49,53,0,0.0,"Caminhão da Sorte em Aquidauana, MS"
300,29/09/2001,24,27,28,38,41,57,0,0.0,"Caminhão da Sorte em Campo Grande, MS"
301,03/10/2001,9,26,48,49,57,58,0,0.0,"Caminhão da Sorte em Concórdia, SC"
302,06/10/2001,12,25,30,40,41,60,0,0.0,"Caminhão da Sorte em Chapecó, SC"
303,10/10/2001,7,13,17,30,37,47,1,12257748.27,"Caminhão da Sorte em Blumenau, SC"
304,13/10/2001,7,11,34,41,42,59,0,0.0,"Caminhão da Sorte em Blumenau, SC"
305,17/10/2001,5,11,27,38,53,60,0,0.0,"Caminhão da Sorte em Jaraguá do Sul, SC"
306,20/10/2001,19,30,41,47,56,57,0,0.0,"Caminhão da Sorte em Jaraguá do Sul, SC"
307,24/10/2001,13,16,17,26,41,44,0,0.0,"Caminhão da Sorte em Manaus, AM"
308,27/10/2001,4,11,25,29,39,55,1,4138172.99,"Caminhão da Sorte em Manaus, AM"
309,31/10/2001,4,11,25,39,50,55,1,442899.06,"Caminhão da Sorte em Juazeiro do Norte, CE"
310,03/11/2001,2,14,28,29,31,32,0,0.0,"Caminhão da Sorte em Juazeiro do Norte, CE"
311,07/11/2001,22,24,30,32,38,41,0,0.0,"Caminhão da Sorte em Poços de Caldas, MG"
