concurso,data,dezena_1,dezena_2,dezena_3,dezena_4,dezena_5,dezena_6,ganhadores_6_acertos,valor_premio,local
780,12/07/2006,7,10,28,50,51,59,0,0.0,"Caminhão da Sorte em Rio de Janeiro, RJ"
781,15/07/2006,8,10,13,39,54,56,0,0.0,"Caminhão da Sorte em Brasília, DF"
782,19/07/2006,2,11,23,35,42,59,0,0.0,"Caminhão da Sorte em Brasília, DF"
783,22/07/2006,4,8,21,32,43,48,1,28244624.32,"Caminhão da Sorte em BRASÍLIA, DF"
784,26/07/2006,8,27,37,42,53,56,0,0.0,"Caminhão da Sorte em Taguatinga, DF"
785,29/07/2006,5,8,17,35,37,48,1,9770979.43,"Caminhão da Sorte em Taguatinga, DF"
786,02/08/2006,10,11,26,27,31,41,0,0.0,"Caminhão da Sorte em TAGUATINGA, DF"
787,05/08/2006,20,31,34,37,54,60,0,0.0,"Caminhão da Sorte em TAGUATINGA, DF"
788,09/08/2006,17,19,29,31,44,57,0,0.0,"Caminhão da Sorte em BRASÍLIA, DF"
789,12/08/2006,6,31,38,39,50,60,0,0.0,"Caminhão da Sorte em Brasília, DF"
790,16/08/2006,2,6,19,22,28,43,0,0.0,"Caminhão da Sorte em TAGUATINGA, DF"
791,19/08/2006,9,14,19,35,42,58,1,12212213.94,"Caminhão da Sorte em TAGUATINGA, DF"
792,23/08/2006,9,29,34,43,45,56,0,0.0,"Caminhão da Sorte em Taguatinga, DF"
793,26/08/2006,3,15,16,33,51,57,0,0.0,"Caminhão da Sorte em Taguatinga, DF"
794,30/08/2006,3,38,42,47,55,56,0,0.0,"Caminhão da Sorte em TAGUATINGA, DF"
795,02/09/2006,14,21,26,29,36,48,0,0.0,"Caminhão da Sorte em TAGUATINGA, DF"
796,06/09/2006,5,19,24,34,39,43,0,0.0,"Caminhão da Sorte em Brasília, DF"
797,09/09/2006,6,12,47,48,52,58,0,0.0,"Caminhão da Sorte em Brasília, DF"
798,13/09/2006,3,4,9,29,32,52,0,0.0,"Caminhão da Sorte em BOITUVA, SP"
799,16/09/2006,19,29,35,42,55,57,0,0.0,"Caminhão da Sorte em Boituva, SP"
800,20/09/2006,1,7,11,37,38,56,0,0.0,"Caminhão da Sorte em Itapeva, SP"
801,23/09/2006,11,19,20,22,42,48,0,0.0,"Caminhão da Sorte em ITAPEVA, SP"
802,27/09/2006,6,14,18,24,48,60,0,0.0,"Caminhão da Sorte em Rio Branco, AC"
803,30/09/2006,3,5,10,21,28,57,0,0.0,"Caminhão da Sorte em Rio Branco, AC"
804,04/10/2006,3,13,37,47,56,59,1,34172202.25,"Caminhão da Sorte em PORTO VELHO, RO"
805,07/10/2006,2,30,36,43,48,60,0,0.0,"Caminhão da Sorte em PORTO VELHO, RO"
806,12/10/2006,18,26,35,41,47,60,0,0.0,"Caminhão da Sorte em Boa Esperança, MG"
807,14/10/2006,2,8,27,32,49,56,0,0.0,"Caminhão da Sorte em BOA ESPERANÇA, MG"
808,18/10/2006,2,15,21,31,46,57,0,0.0,"Caminhão da Sorte em ARIQUEMES, RO"
809,21/10/2006,5,11,15,23,25,30,0,0.0,"Caminhão da Sorte em ARIQUEMES, RO"
810,25/10/2006,1,4,5,33,37,48,0,0.0,"Caminhão da Sorte em JI-PARANÁ, RO"
811,28/10/2006,10,28,32,41,47,57,2,14597902.39,"Caminhão da Sorte em JI-PARANÁ, RO"
812,01/11/2006,11,13,38,39,54,57,0,0.0,"Caminhão da Sorte em CACOAL, RO"
813,04/11/2006,9,15,23,45,46,56,0,0.0,"Caminhão da Sorte em Cacoal, RO"
814,08/11/2006,2,8,11,41,46,50,0,0.0,"Caminhão da Sorte em Porto Alegre, RS"
815,11/11/2006,9,19,37,39,50,57,0,0.0,"Caminhão da Sorte em Porto Alegre, RS"
816,16/11/2006,20,21,30,40,47,52,0,0.0,"Caminhão da Sorte em LAJEADO, RS"
817,18/11/2006,10,29,30,34,43,52,0,0.0,"Caminhão da Sorte em LAJEADO, RS"
818,22/11/2006,8,9,22,25,41,44,0,0.0,"Caminhão da Sorte em Vilhena, RO"
819,25/11/2006,5,19,25,46,51,58,0,0.0,"Caminhão da Sorte em Vilhena, RO"
820,29/11/2006,10,17,21,32,45,46,2,13046320.38,"Caminhão da Sorte em MIRANTE DO PARANAPANEMA, SP"
821,02/12/2006,4,29,33,36,38,42,0,0.0,"Caminhão da Sorte em ARAÇATUBA, SP"
822,06/12/2006,4,10,17,27,41,52,0,0.0,"Caminhão da Sorte em Santa Bárbara, MG"
823,09/12/2006,1,15,26,51,54,59,0,0.0,"Caminhão da Sorte em Barão de Cocais, MG"
824,13/12/2006,6,7,9,20,33,48,0,0.0,"Caminhão da Sorte em CAMPINAS, SP"
825,16/12/2006,10,21,28,40,41,47,0,0.0,"Caminhão da Sorte em CAMPINAS, SP"
826,19/12/2006,6,7,8,27,45,53,0,0.0,"Caminhão da Sorte em ARVOREZINHA, RS"
827,21/12/2006,18,24,30,42,51,56,0,0.0,"Caminhão da Sorte em Nonoai, RS"
828,23/12/2006,23,28,38,42,50,53,0,0.0,"Caminhão da Sorte em Nonoai, RS"
829,31/12/2006,10,14,32,47,50,56,0,0.0,"Caminhão da Sorte em SÃO PAULO, SP"
830,03/01/2007,2,13,41,49,51,53,0,0.0,"Caminhão da Sorte em São Francisco de Itabapoana, RJ"
831,06/01/2007,3,32,33,42,48,50,0,0.0,"Caminhão da Sorte em São Francisco de Itabapoana, RJ"
832,10/01/2007,15,17,23,33,39,49,1,52807317.17,"Caminhão da Sorte em SÃO JOÃO DA BARRA, RJ"
833,13/01/2007,13,16,46,53,57,58,0,0.0,"Caminhão da Sorte em São João da Barra, RJ"
834,17/01/2007,10,16,17,34,44,51,1,2820323.56,"Caminhão da Sorte em Jaguariaíva, PR"
835,20/01/2007,18,31,33,49,57,58,0,0.0,"Caminhão da Sorte em Sengés, PR"
836,24/01/2007,17,22,28,38,52,59,0,0.0,"Caminhão da Sorte em Valinhos, SP"
837,27/01/2007,5,6,16,24,34,60,1,25067473.09,"Caminhão da Sorte em Valinhos, SP"
838,31/01/2007,9,23,30,38,44,47,0,0.0,"Caminhão da Sorte em GUARATUBA, PR"
839,03/02/2007,7,8,11,18,37,43,0,0.0,"Caminhão da Sorte em GUARATUBA, PR"
840,07/02/2007,17,29,31,35,43,59,0,0.0,"Caminhão da Sorte em CABO FRIO, RJ"
841,10/02/2007,7,22,32,36,38,51,0,0.0,"Caminhão da Sorte em Cabo Frio, RJ"
842,14/02/2007,7,9,30,44,51,60,0,0.0,"Caminhão da Sorte em SÃO PAULO, SP"
843,17/02/2007,1,16,34,36,45,48,0,0.0,"Caminhão da Sorte em PORTO SEGURO, BA"
844,24/02/2007,16,24,34,44,54,57,0,0.0,"Caminhão da Sorte em Balneário Camboriú, SC"
845,28/02/2007,14,19,20,40,48,52,0,0.0,"Caminhão da Sorte em Capão da Canoa, RS"
846,03/03/2007,2,3,44,47,50,54,0,0.0,"Caminhão da Sorte em Capão da Canoa, RS"
847,07/03/2007,14,15,27,42,44,48,1,40484388.84,"Caminhão da Sorte em SÃO PAULO, SP"
848,10/03/2007,17,27,32,34,47,56,1,1351049.04,"Caminhão da Sorte em SALVADOR, BA"
849,14/03/2007,8,9,39,44,49,58,0,0.0,"Caminhão da Sorte em ARACAJU, SE"
850,17/03/2007,7,22,25,44,59,60,0,0.0,"Caminhão da Sorte em Aracaju, SE"
851,21/03/2007,3,16,19,32,35,58,3,4966312.44,"Caminhão da Sorte em ALTINÓPOLIS, SP"
852,24/03/2007,6,14,23,34,38,44,0,0.0,"Caminhão da Sorte em Batatais, SP"
853,28/03/2007,30,38,46,51,56,59,0,0.0,"Caminhão da Sorte em SÃO PAULO, SP"
854,31/03/2007,3,17,24,25,27,44,0,0.0,"Caminhão da Sorte em UBERLÂNDIA, MG"
855,04/04/2007,3,24,31,42,43,53,0,0.0,"Caminhão da Sorte em CÁSSIA, MG"
856,07/04/2007,11,15,40,41,42,47,0,0.0,"Caminhão da Sorte em Ibiraci, MG"
857,11/04/2007,2,3,17,49,50,59,0,0.0,"Caminhão da Sorte em Londrina, PR"
858,14/04/2007,4,18,23,31,37,54,2,8889537.74,"Caminhão da Sorte em Londrina, PR"
859,18/04/2007,9,12,34,46,47,57,0,0.0,"Caminhão da Sorte em CURITIBA, PR"
860,23/04/2007,2,8,17,22,42,44,0,0.0,"Caminhão da Sorte em ITAPETININGA, SP"
861,25/04/2007,39,40,42,47,59,60,1,10840760.96,"Caminhão da Sorte em ITAPETININGA, SP"
862,28/04/2007,2,8,11,12,19,35,1,1152211.3,"Caminhão da Sorte em ITAPETININGA, SP"
863,02/05/2007,15,24,32,50,53,57,0,0.0,"Caminhão da Sorte em TRÊS DE MAIO, RS"
864,05/05/2007,8,11,31,33,42,57,0,0.0,"Caminhão da Sorte em SANTO ÂNGELO, RS"
865,09/05/2007,23,26,27,41,51,53,0,0.0,"Caminhão da Sorte em NATAL, RN"
866,12/05/2007,5,27,36,40,46,48,0,0.0,"Caminhão da Sorte em NATAL, RN"
867,16/05/2007,10,19,26,28,44,54,0,0.0,"Caminhão da Sorte em São Paulo, SP"
868,19/05/2007,21,22,25,40,51,57,0,0.0,"Caminhão da Sorte em Santa Cruz, RN"
869,23/05/2007,27,29,42,49,50,51,1,16192436.64,"Caminhão da Sorte em IPORÁ, GO"
870,26/05/2007,8,21,34,40,43,52,0,0.0,"Caminhão da Sorte em IPORÁ, GO"
871,30/05/2007,1,5,10,17,47,58,0,0.0,"Caminhão da Sorte em ANANINDEUA, PA"
872,02/06/2007,5,18,31,43,55,58,0,0.0,"Caminhão da Sorte em ANANINDEUA, PA"
873,06/06/2007,4,19,30,34,57,59,0,0.0,"Caminhão da Sorte em CAMPOS DOS GOYTACAZES, RJ"
874,09/06/2007,10,20,42,44,52,59,0,0.0,"Caminhão da Sorte em CAMPOS DOS GOYTACAZES, RJ"
875,13/06/2007,18,20,24,36,53,58,1,26631943.24,"Caminhão da Sorte em OURINHOS, SP"
876,16/06/2007,4,8,12,41,45,60,0,0.0,"Caminhão da Sorte em OURINHOS, SP"
877,20/06/2007,13,15,20,28,31,36,0,0.0,"Caminhão da Sorte em SANTA TERESA, ES"
878,23/06/2007,11,12,37,38,43,54,0,0.0,"Caminhão da Sorte em SANTA TERESA, ES"
879,27/06/2007,10,28,29,35,42,46,0,0.0,"Caminhão da Sorte em SÃO PAULO, SP"
880,30/06/2007,25,30,37,46,49,51,0,0.0,"Caminhão da Sorte em LAGES, SC"
881,04/07/2007,4,18,24,43,51,56,0,0.0,"Caminhão da Sorte em PALMAS, TO"
882,07/07/2007,17,41,42,44,45,60,1,21492982.24,"Caminhão da Sorte em PALMAS, TO"
883,11/07/2007,21,32,37,52,53,60,0,0.0,"Caminhão da Sorte em SALINAS, MG"
884,14/07/2007,2,11,12,14,22,39,0,0.0,"Caminhão da Sorte em SALINAS, MG"
885,18/07/2007,4,13,31,33,47,51,0,0.0,"Caminhão da Sorte em IPAMERI, GO"
886,21/07/2007,17,33,37,50,55,59,0,0.0,"Caminhão da Sorte em IPAMERI, GO"
887,25/07/2007,1,12,21,32,34,44,0,0.0,"Caminhão da Sorte em DOMINGOS MARTINS, ES"
888,28/07/2007,24,40,50,52,54,60,1,18947548.96,"Caminhão da Sorte em DOMINGOS MARTINS, ES"
889,01/08/2007,20,24,34,39,54,60,0,0.0,"Caminhão da Sorte em IRATI, PR"
890,04/08/2007,7,9,17,21,22,54,0,0.0,"Caminhão da Sorte em IRATI, PR"
891,08/08/2007,15,16,19,22,34,35,0,0.0,"Caminhão da Sorte em ANÁPOLIS, GO"
892,11/08/2007,1,19,42,44,49,52,0,0.0,"Caminhão da Sorte em ANÁPOLIS, GO"
893,15/08/2007,3,18,26,51,53,56,0,0.0,"Caminhão da Sorte em RIO DE JANEIRO, RJ"
894,18/08/2007,20,24,28,37,41,44,0,0.0,"Caminhão da Sorte em URUAÇU, GO"
895,22/08/2007,2,41,43,55,57,58,0,0.0,"Caminhão da Sorte em CRUZEIRO DO OESTE, PR"
896,25/08/2007,5,11,22,31,35,41,0,0.0,"Caminhão da Sorte em CRUZEIRO DO OESTE, PR"
897,29/08/2007,7,21,22,43,46,57,0,0.0,"Caminhão da Sorte em GUARAMIRIM, SC"
898,01/09/2007,3,4,8,30,45,54,2,27782053.83,"Caminhão da Sorte em GUARAMIRIM, SC"
899,05/09/2007,18,20,36,53,54,58,0,0.0,"Caminhão da Sorte em SÃO LUIS, MA"
900,08/09/2007,4,18,21,34,38,59,1,23334752.92,"Caminhão da Sorte em SÃO LUIS, MA"
901,12/09/2007,13,16,32,33,34,56,0,0.0,"Caminhão da Sorte em RIO CLARO, SP"
902,15/09/2007,18,23,50,52,55,58,0,0.0,"Caminhão da Sorte em OURO PRETO , MG"
903,19/09/2007,5,17,20,32,41,55,0,0.0,"Caminhão da Sorte em SÃO GONÇALO, RJ"
904,22/09/2007,32,44,48,51,53,59,0,0.0,"Caminhão da Sorte em SÃO GONÇALO, RJ"
905,26/09/2007,2,4,15,16,55,57,1,18405503.18,"Caminhão da Sorte em BOM DESPACHO, MG"
906,29/09/2007,7,14,24,29,35,39,1,1583115.71,"Caminhão da Sorte em FORMIGA, MG"
907,03/10/2007,9,36,37,41,51,53,0,0.0,"Caminhão da Sorte em RIBEIRÃO PRETO, SP"
908,06/10/2007,1,9,19,25,50,52,0,0.0,"Caminhão da Sorte em RIBEIRÃO PRETO, SP"
909,10/10/2007,17,22,26,28,38,42,0,0.0,"Caminhão da Sorte em CHAPECÓ, SC"
910,13/10/2007,3,15,27,29,36,53,0,0.0,"Caminhão da Sorte em CHAPECÓ, SC"
911,17/10/2007,1,6,28,29,46,49,1,15981772.55,"Caminhão da Sorte em NOVA IGUAÇU, RJ"
912,20/10/2007,4,19,21,26,29,54,0,0.0,"Caminhão da Sorte em NOVA IGUAÇU, RJ"
913,24/10/2007,14,30,36,38,46,59,1,2915782.13,"Caminhão da Sorte em SIQUEIRA CAMPOS, PR"
914,27/10/2007,9,12,23,33,45,51,0,0.0,"Caminhão da Sorte em QUATIGUÁ, PR"
915,31/10/2007,17,20,26,28,48,49,1,9448268.16,"Caminhão da Sorte em JUAZEIRO DO NORTE, CE"
916,03/11/2007,5,28,33,36,37,38,0,0.0,"Caminhão da Sorte em JUAZEIRO DO NORTE, CE"
917,07/11/2007,23,25,30,46,47,59,0,0.0,"Caminhão da Sorte em PARANAGUÁ, PR"
918,10/11/2007,4,8,12,38,44,52,0,0.0,"Caminhão da Sorte em PARANAGUÁ, PR"
919,14/11/2007,3,25,31,41,43,60,0,0.0,"Caminhão da Sorte em BAGÉ, RS"
920,17/11/2007,5,17,24,52,55,57,0,0.0,"Caminhão da Sorte em BAGÉ, RS"
921,21/11/2007,1,9,35,41,48,57,0,0.0,"Caminhão da Sorte em CAXIAS DO SUL, RS"
922,24/11/2007,12,13,19,41,45,49,0,0.0,"Caminhão da Sorte em CAXIAS DO SUL, RS"
923,28/11/2007,2,15,39,50,53,57,0,0.0,"Caminhão da Sorte em TERESÓPOLIS, RJ"
924,01/12/2007,2,20,21,27,51,60,0,0.0,"Caminhão da Sorte em TERESOPOLIS, RJ"
925,05/12/2007,8,22,36,37,46,52,1,40628613.64,"Caminhão da Sorte em GUARULHOS, SP"
926,08/12/2007,21,33,34,40,41,59,0,0.0,"Caminhão da Sorte em Guarulhos, SP"
927,12/12/2007,19,23,26,31,33,36,0,0.0,"Caminhão da Sorte em Picos, PI"
928,15/12/2007,4,10,32,33,49,60,1,5077029.42,"Caminhão da Sorte em PICOS, PI"
929,19/12/2007,16,27,35,39,49,57,0,0.0,"Caminhão da Sorte em Floriano, PI"
930,22/12/2007,20,28,37,46,49,55,0,0.0,"Caminhão da Sorte em FLORIANO, PI"
931,31/12/2007,7,17,19,34,36,39,0,0.0,"Caminhão da Sorte em Rio de Janeiro, RJ"
932,05/01/2008,2,17,21,36,42,53,1,19685655.01,"Caminhão da Sorte em Macaé, RJ"
933,09/01/2008,8,14,25,39,45,51,0,0.0,"Caminhão da Sorte em PENEDO, AL"
934,12/01/2008,1,3,21,25,44,48,0,0.0,"Caminhão da Sorte em PENEDO, AL"
935,16/01/2008,7,13,18,29,31,45,0,0.0,"Caminhão da Sorte em Aracaju, SE"
936,19/01/2008,5,14,22,29,33,44,2,8699137.89,"Caminhão da Sorte em Aracaju, SE"
937,23/01/2008,2,21,22,30,41,52,0,0.0,"Caminhão da Sorte em SÃO JOÃO DA BARRA, RJ"
938,26/01/2008,15,27,35,50,57,59,0,0.0,"Caminhão da Sorte em São João da Barra, RJ"
939,30/01/2008,6,19,23,37,49,50,0,0.0,"Caminhão da Sorte em GUARAPARI, ES"
940,02/02/2008,5,25,31,33,37,51,0,0.0,"Caminhão da Sorte em GUARAPARI, ES"
941,06/02/2008,10,11,15,27,53,60,0,0.0,"Caminhão da Sorte em POÇOS DE CALDAS, MG"
942,09/02/2008,5,8,18,42,52,59,0,0.0,"Caminhão da Sorte em POÇOS DE CALDAS, MG"
943,13/02/2008,3,12,23,41,47,58,1,20498366.41,"Caminhão da Sorte em PEDREIRA, SP"
944,16/02/2008,16,37,43,52,58,59,0,0.0,"Caminhão da Sorte em PEDREIRA, SP"
945,20/02/2008,4,8,27,44,54,59,0,0.0,"Caminhão da Sorte em SÃO PAULO, SP"
946,23/02/2008,1,5,12,47,52,59,0,0.0,"Caminhão da Sorte em CAPÃO DA CANOA, RS"
947,27/02/2008,3,5,11,14,33,58,1,16035424.27,"Caminhão da Sorte em SÃO PAULO, SP"
948,01/03/2008,22,41,44,46,52,54,0,0.0,"Caminhão da Sorte em CRICIUMA, SC"
949,05/03/2008,1,23,41,44,51,52,0,0.0,"Caminhão da Sorte em SÃO LOURENÇO DO SUL, RS"
950,08/03/2008,23,41,42,48,49,59,0,0.0,"Caminhão da Sorte em SÃO LOURENÇO DO SUL, RS"
951,12/03/2008,14,24,34,39,49,55,0,0.0,"Caminhão da Sorte em SÃO PAULO, SP"
952,15/03/2008,2,11,18,27,30,54,0,0.0,"Caminhão da Sorte em FRANCISCO BELTRÃO, PR"
953,19/03/2008,1,16,39,42,48,55,1,20509951.37,"Caminhão da Sorte em SÃO PAULO, SP"
954,22/03/2008,5,8,18,24,33,57,0,0.0,"Caminhão da Sorte em ITAPERUNA, RJ"
955,26/03/2008,5,12,21,32,33,35,2,5678963.92,"Caminhão da Sorte em SÃO PAULO, SP"
956,29/03/2008,46,47,51,54,57,59,1,1385109.95,"Caminhão da Sorte em NOVA LIMA, MG"
957,02/04/2008,24,25,32,34,50,57,0,0.0,"Caminhão da Sorte em SÃO PAULO, SP"
958,05/04/2008,7,13,22,33,48,51,3,978205.14,"Caminhão da Sorte em JACAREÍ, SP"
959,09/04/2008,3,5,11,33,39,57,0,0.0,"Caminhão da Sorte em SANTO ANDRÉ, SP"
960,12/04/2008,6,18,19,33,34,53,0,0.0,"Caminhão da Sorte em SANTO ANDRÉ, SP"
961,16/04/2008,2,4,16,21,36,53,0,0.0,"Caminhão da Sorte em SÃO PAULO, SP"
962,19/04/2008,2,11,40,48,49,55,1,13272508.39,"Caminhão da Sorte em SÃO FRANCISCO DO SUL, SC"
963,23/04/2008,15,17,37,48,50,59,0,0.0,"Caminhão da Sorte em NOVA VENÉCIA, ES"
964,26/04/2008,8,13,20,26,33,42,0,0.0,"Caminhão da Sorte em NOVA VENÉCIA, ES"
965,30/04/2008,5,30,36,39,57,58,0,0.0,"Caminhão da Sorte em MONTE SIÃO, MG"
966,03/05/2008,1,4,26,28,41,58,0,0.0,"Caminhão da Sorte em MONTE SIÃO, MG"
967,07/05/2008,5,13,14,18,30,57,0,0.0,"Caminhão da Sorte em COLATINA, ES"
968,10/05/2008,1,4,13,30,51,60,0,0.0,"Caminhão da Sorte em COLATINA, ES"
969,14/05/2008,13,25,35,41,50,56,1,21823614.22,"Caminhão da Sorte em DUQUE DE CAXIAS, RJ"
970,17/05/2008,5,21,28,34,54,57,3,3712467.76,"Caminhão da Sorte em DUQUE DE CAXIAS, RJ"
971,21/05/2008,4,11,14,33,44,45,0,0.0,"Caminhão da Sorte em PATOS DE MINAS, MG"
972,24/05/2008,15,18,31,33,34,56,3,912435.75,"Caminhão da Sorte em PATOS DE MINAS, MG"
973,28/05/2008,1,8,30,36,47,53,0,0.0,"Caminhão da Sorte em CONCEIÇÃO DE MACABU, RJ"
974,31/05/2008,12,16,20,31,38,45,0,0.0,"Caminhão da Sorte em CONCEIÇÃO DE MACABU, RJ"
975,04/06/2008,9,30,33,37,40,41,0,0.0,"Caminhão da Sorte em REDENÇÃO, PA"
976,07/06/2008,14,23,25,28,38,53,0,0.0,"Caminhão da Sorte em REDENÇÃO, PA"
977,11/06/2008,3,5,7,9,17,32,1,16584111.63,"Caminhão da Sorte em GOIÁS, GO"
978,14/06/2008,12,16,18,27,42,58,0,0.0,"Caminhão da Sorte em GOIÁS, GO"
979,18/06/2008,3,15,28,31,39,51,0,0.0,"Caminhão da Sorte em IGUAPE, SP"
980,21/06/2008,15,17,29,35,36,59,0,0.0,"Caminhão da Sorte em JACUPIRANGA, SP"
981,25/06/2008,1,8,34,41,53,58,0,0.0,"Caminhão da Sorte em BARREIRAS, BA"
982,28/06/2008,8,12,24,40,43,49,0,0.0,"Caminhão da Sorte em BARREIRAS, BA"
983,02/07/2008,16,22,32,38,40,45,1,24038180.79,"Caminhão da Sorte em CRAVINHOS, SP"
984,05/07/2008,4,10,20,43,46,47,0,0.0,"Caminhão da Sorte em MORRO AGUDO, SP"
985,09/07/2008,4,16,18,46,56,59,0,0.0,"Caminhão da Sorte em IPAMERI, GO"
986,12/07/2008,6,15,19,24,31,32,0,0.0,"Caminhão da Sorte em IPAMERI, GO"
987,16/07/2008,13,27,31,34,47,58,0,0.0,"Caminhão da Sorte em RIO CLARO, SP"
988,19/07/2008,8,17,46,48,56,60,0,0.0,"Caminhão da Sorte em RIO CLARO, SP"
989,23/07/2008,2,21,27,29,32,38,0,0.0,"Caminhão da Sorte em TOLEDO, PR"
990,26/07/2008,2,10,15,18,29,39,2,26586140.51,"Caminhão da Sorte em JEQUERI, MG"
991,30/07/2008,8,9,15,38,41,60,0,0.0,"Caminhão da Sorte em BARRA DO GARÇAS, MT"
992,02/08/2008,1,4,6,8,25,28,0,0.0,"Caminhão da Sorte em ARAGARÇAS, GO"
993,06/08/2008,5,24,25,26,42,60,0,0.0,"Caminhão da Sorte em TREMEMBÉ, SP"
994,09/08/2008,3,20,29,40,44,58,0,0.0,"Caminhão da Sorte em TREMEMBÉ, SP"
995,13/08/2008,4,16,31,36,54,55,0,0.0,"Caminhão da Sorte em BAURU, SP"
996,16/08/2008,7,15,20,21,23,29,2,14458257.67,"Caminhão da Sorte em BAURU, SP"
997,20/08/2008,9,17,18,32,53,55,0,0.0,"Caminhão da Sorte em PONTE NOVA, MG"
998,23/08/2008,3,4,21,22,28,32,0,0.0,"Caminhão da Sorte em PONTE NOVA, MG"
999,27/08/2008,18,24,36,44,55,58,0,0.0,"Caminhão da Sorte em PRESIDENTE VENCESLAU, SP"
1000,30/08/2008,29,38,39,49,53,58,0,0.0,"Caminhão da Sorte em DUQUE DE CAXIAS, RJ"
1001,03/09/2008,12,15,27,37,51,60,0,0.0,"Caminhão da Sorte em TABOÃO DA SERRA, SP"
1002,06/09/2008,3,7,25,31,40,58,1,24880988.57,"Caminhão da Sorte em TABOÃO DA SERRA, SP"
1003,10/09/2008,5,10,16,23,26,27,1,1609524.9,"Caminhão da Sorte em AMAMBAI, MS"
1004,13/09/2008,29,40,43,44,45,47,0,0.0,"Caminhão da Sorte em AMAMBAI, MS"
1005,17/09/2008,4,6,12,37,41,42,1,12989451.54,"Caminhão da Sorte em SÃO MATEUS DO SUL, PR"
1006,20/09/2008,2,4,17,33,48,55,1,1675260.09,"Caminhão da Sorte em SÃO MATEUS DO SUL, PR"
1007,24/09/2008,4,27,36,37,49,52,0,0.0,"Caminhão da Sorte em TEUTÔNIA, RS"
1008,27/09/2008,7,13,15,34,42,48,0,0.0,"Caminhão da Sorte em PORTÃO, RS"
1009,01/10/2008,1,6,12,29,34,58,2,2591825.61,"Caminhão da Sorte em SÃO PAULO, SP"
1010,04/10/2008,2,3,13,37,46,54,0,0.0,"Caminhão da Sorte em PENÁPOLIS, SP"
1011,08/10/2008,2,11,21,30,35,52,0,0.0,"Caminhão da Sorte em VENDA NOVA DO IMIGRANTE, ES"
1012,11/10/2008,14,19,40,47,55,58,0,0.0,"Caminhão da Sorte em VENDA NOVA DO IMIGRANTE, ES"
1013,15/10/2008,7,9,12,19,20,41,1,15668367.92,"Caminhão da Sorte em CAMPINAS DO SUL, RS"
1014,18/10/2008,8,9,25,41,57,60,0,0.0,"Caminhão da Sorte em IJUÍ, RS"
1015,22/10/2008,3,8,17,26,28,49,0,0.0,"Caminhão da Sorte em ARCOS, MG"
1016,25/10/2008,5,9,11,20,25,60,1,13814409.97,"Caminhão da Sorte em SANTO ANTÔNIO DO MONTE, MG"
1017,29/10/2008,6,19,31,34,51,56,0,0.0,"Caminhão da Sorte em SÃO PAULO, SP"
1018,01/11/2008,9,24,44,51,55,58,0,0.0,"Caminhão da Sorte em PIUMHI, MG"
1019,05/11/2008,4,13,23,29,46,47,0,0.0,"Caminhão da Sorte em SÃO JOSÉ DO RIO PRETO, SP"
1020,08/11/2008,1,2,19,32,39,52,0,0.0,"Caminhão da Sorte em SÃO JOSÉ DO RIO PRETO, SP"
1021,12/11/2008,2,33,42,43,51,55,1,17819642.97,"Caminhão da Sorte em SÃO PAULO, SP"
1022,16/11/2008,5,21,31,39,40,56,0,0.0,"Caminhão da Sorte em MARAVILHA, SC"
1023,19/11/2008,2,7,8,18,40,45,0,0.0,"Caminhão da Sorte em SÃO PAULO, SP"
1024,22/11/2008,18,22,28,29,39,53,0,0.0,"Caminhão da Sorte em PALMEIRA DAS MISSÕES, RS"
1025,26/11/2008,10,27,28,29,40,52,0,0.0,"Caminhão da Sorte em EMBU-GUAÇU, SP"
1026,29/11/2008,6,10,17,33,51,53,0,0.0,"Caminhão da Sorte em EMBU-GUAÇU, SP"
1027,03/12/2008,18,20,33,44,47,60,0,0.0,"Caminhão da Sorte em RIBEIRÃO PRETO, SP"
1028,06/12/2008,20,26,34,51,52,54,0,0.0,"Caminhão da Sorte em RIBEIRÃO PRETO, SP"
1029,10/12/2008,5,16,17,20,24,32,1,32271347.11,"Caminhão da Sorte em FRANCA, SP"
1030,13/12/2008,1,8,23,37,54,57,0,0.0,"Caminhão da Sorte em FRANCA, SP"
1031,17/12/2008,24,33,40,43,46,49,1,19067463.74,"Caminhão da Sorte em PIRASSUNUNGA, SP"
1032,20/12/2008,15,16,26,29,43,57,0,0.0,"Caminhão da Sorte em PIRASSUNUNGA, SP"
1033,24/12/2008,5,6,17,33,39,54,0,0.0,"Caminhão da Sorte em IPORÃ, PR"
1034,27/12/2008,1,3,18,20,42,49,0,0.0,"Caminhão da Sorte em IPORÃ, PR"
1035,31/12/2008,1,11,26,51,59,60,0,0.0,"Caminhão da Sorte em SÃO PAULO, SP"
1036,03/01/2009,10,27,36,39,41,52,1,44550370.27,"Caminhão da Sorte em NOVA ANDRADINA, MS"
1037,07/01/2009,4,36,44,46,53,56,0,0.0,"Auditório em BRASÍLIA, DF"
1038,10/01/2009,6,7,28,35,43,51,0,0.0,"Auditório em BRASÍLIA, DF"
1039,14/01/2009,2,20,24,27,36,52,0,0.0,"Caminhão da Sorte em POÇO VERDE, SE"
1040,17/01/2009,1,6,28,39,44,55,0,0.0,"Caminhão da Sorte em POÇO VERDE, SE"
1041,21/01/2009,10,12,36,44,54,57,1,29372147.91,"Caminhão da Sorte em MACEIÓ, AL"
