concurso,data,dezena_1,dezena_2,dezena_3,dezena_4,dezena_5,dezena_6,ganhadores_6_acertos,premio_6_acertos,acumulado,local
2294,29/08/2020,09,15,20,33,41,43,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2295,02/09/2020,06,13,26,28,35,41,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2296,05/09/2020,01,06,21,29,36,59,2,47160446.98,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2297,09/09/2020,20,22,35,40,41,59,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2298,12/09/2020,13,17,21,31,41,49,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2299,15/09/2020,02,03,19,40,44,60,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2300,17/09/2020,09,21,37,39,43,54,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2301,19/09/2020,17,18,35,36,47,52,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2302,23/09/2020,18,22,25,27,43,44,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2303,26/09/2020,03,07,17,20,48,50,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2304,30/09/2020,12,21,29,54,56,57,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2305,03/10/2020,07,16,22,38,55,57,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2306,07/10/2020,03,19,28,33,57,58,1,103029826.38,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2307,10/10/2020,16,33,38,46,53,55,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2308,14/10/2020,09,13,26,38,58,60,1,6648106.25,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2309,17/10/2020,09,11,29,30,33,60,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2310,20/10/2020,13,17,28,29,42,53,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2311,22/10/2020,03,05,09,35,43,60,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2312,24/10/2020,03,27,39,46,47,60,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2313,28/10/2020,03,20,26,45,49,58,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2314,31/10/2020,06,07,28,42,45,49,1,53047796.53,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2315,04/11/2020,01,10,17,26,30,53,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2316,07/11/2020,02,11,43,49,52,56,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2317,11/11/2020,03,08,30,33,35,48,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2318,14/11/2020,28,44,52,54,58,60,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2319,18/11/2020,06,17,25,35,40,49,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2320,21/11/2020,06,30,35,39,42,48,1,76128023.58,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2321,25/11/2020,14,25,28,41,43,46,1,3036906.71,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2322,28/11/2020,02,05,10,29,34,41,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2323,02/12/2020,20,27,35,39,50,59,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2324,05/12/2020,02,16,19,31,43,60,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2325,08/12/2020,33,34,37,46,52,60,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2326,10/12/2020,10,16,27,34,36,57,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2327,12/12/2020,30,37,45,54,57,58,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2328,16/12/2020,08,11,14,39,48,53,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2329,19/12/2020,12,14,28,42,45,55,2,26798752.27,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2330,31/12/2020,17,20,22,35,41,42,2,162625108.22,True,"ESTUDIO DE TV REDE GLOBO/SP em SÃO PAULO, SP"
2331,02/01/2021,11,13,16,36,53,57,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2332,06/01/2021,12,33,35,36,44,52,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2333,09/01/2021,09,16,31,41,53,55,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2334,13/01/2021,04,13,20,22,25,60,1,11854874.71,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2335,16/01/2021,09,18,23,42,47,49,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2336,20/01/2021,08,10,20,27,28,50,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2337,23/01/2021,02,09,34,49,51,55,1,21898260.37,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2338,26/01/2021,08,21,23,34,42,47,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2339,28/01/2021,04,18,29,47,48,59,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2340,30/01/2021,16,21,28,41,49,51,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2341,03/02/2021,04,09,31,32,42,46,1,25099868.34,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2342,06/02/2021,17,20,24,27,40,60,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2343,10/02/2021,04,31,42,45,49,56,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2344,13/02/2021,11,17,25,38,52,57,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2345,17/02/2021,07,16,19,22,28,55,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2346,20/02/2021,03,04,11,40,42,58,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2347,24/02/2021,08,09,17,30,58,60,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2348,27/02/2021,02,03,07,48,51,54,1,49341885.2,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2349,03/03/2021,05,10,25,32,49,54,1,2780964.58,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2350,06/03/2021,25,28,29,34,41,45,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2351,10/03/2021,19,22,35,41,47,49,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2352,13/03/2021,09,17,38,41,49,55,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2353,17/03/2021,03,19,34,41,48,53,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2354,20/03/2021,06,18,25,30,42,54,2,22779788.25,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
2355,24/03/2021,07,30,31,41,50,56,0,0.0,False,"ESPAÇO LOTERIAS CAIXA em SÃO PAULO, SP"
